,date,time,distance
193118,2025-03-06,09:10:22.881232,700
193119,2025-03-06,09:10:22.902270,700
193120,2025-03-06,09:10:22.923321,700
193121,2025-03-06,09:10:22.944356,700
193122,2025-03-06,09:10:22.965718,700
193123,2025-03-06,09:10:22.986753,625
193124,2025-03-06,09:10:23.007788,700
193125,2025-03-06,09:10:23.028823,700
193126,2025-03-06,09:10:23.049866,700
193127,2025-03-06,09:10:23.070901,700
193128,2025-03-06,09:10:23.091935,700
193129,2025-03-06,09:10:23.112968,700
193130,2025-03-06,09:10:23.134009,700
193131,2025-03-06,09:10:23.155044,700
193132,2025-03-06,09:10:23.176079,700
193133,2025-03-06,09:10:23.197114,700
193134,2025-03-06,09:10:23.218150,700
193135,2025-03-06,09:10:23.239186,700
193136,2025-03-06,09:10:23.260230,700
193137,2025-03-06,09:10:23.281270,700
193138,2025-03-06,09:10:23.302307,700
193139,2025-03-06,09:10:23.323343,700
193140,2025-03-06,09:10:23.344380,700
193141,2025-03-06,09:10:23.365436,700
193142,2025-03-06,09:10:23.386522,700
193143,2025-03-06,09:10:23.407569,700
193144,2025-03-06,09:10:23.428611,700
193145,2025-03-06,09:10:23.449653,700
193146,2025-03-06,09:10:23.470688,700
193147,2025-03-06,09:10:23.491724,700
193148,2025-03-06,09:10:23.512759,700
193149,2025-03-06,09:10:23.533800,700
193150,2025-03-06,09:10:23.554836,700
193151,2025-03-06,09:10:23.575871,700
193152,2025-03-06,09:10:23.596907,700
193153,2025-03-06,09:10:23.617943,700
193154,2025-03-06,09:10:23.638979,700
193155,2025-03-06,09:10:23.660015,700
193156,2025-03-06,09:10:23.681052,700
193157,2025-03-06,09:10:23.702088,700
193158,2025-03-06,09:10:23.723121,700
193159,2025-03-06,09:10:23.744158,700
193160,2025-03-06,09:10:23.765194,700
193161,2025-03-06,09:10:23.786231,310
193162,2025-03-06,09:10:23.807267,274
193163,2025-03-06,09:10:23.828314,259
193164,2025-03-06,09:10:23.849352,254
193165,2025-03-06,09:10:23.870389,285
193166,2025-03-06,09:10:23.891423,256
193167,2025-03-06,09:10:23.912468,253
193168,2025-03-06,09:10:23.933509,264
193169,2025-03-06,09:10:23.954547,261
193170,2025-03-06,09:10:23.975615,251
193171,2025-03-06,09:10:23.996733,250
193172,2025-03-06,09:10:24.017809,251
193173,2025-03-06,09:10:24.039511,251
193174,2025-03-06,09:10:24.060614,251
193175,2025-03-06,09:10:24.081665,251
193176,2025-03-06,09:10:24.102721,252
193177,2025-03-06,09:10:24.123819,252
193178,2025-03-06,09:10:24.144885,252
193179,2025-03-06,09:10:24.165943,252
193180,2025-03-06,09:10:24.186988,251
193181,2025-03-06,09:10:24.208030,251
193182,2025-03-06,09:10:24.229071,250
193183,2025-03-06,09:10:24.250109,250
193184,2025-03-06,09:10:24.271144,249
193185,2025-03-06,09:10:24.292185,249
193186,2025-03-06,09:10:24.313247,249
193187,2025-03-06,09:10:24.334360,248
193188,2025-03-06,09:10:24.355428,253
193189,2025-03-06,09:10:24.376515,271
193190,2025-03-06,09:10:24.397581,249
193191,2025-03-06,09:10:24.419316,247
193192,2025-03-06,09:10:24.440404,250
